#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,year_year_exm,year_year_anm,year_year_lev,venue_venue_lev,gold,predicted
0,conf/vldb/OuzzaniAB94,672989,1.0,1.0,0.666666666667,0.190476190476,1,1
1,conf/sigmod/Shasha97,253288,1.0,1.0,0.666666666667,0.239130434783,0,0
2,journals/vldb/PapadiasS94,615209,1.0,1.0,0.666666666667,0.0845070422535,1,1
3,journals/sigmod/SantucciT96,245898,1.0,1.0,0.666666666667,0.764705882353,1,1
4,conf/vldb/StohrMR00,671843,1.0,1.0,0.666666666667,0.190476190476,1,1
5,conf/vldb/RamanH01,672045,1.0,1.0,0.666666666667,0.190476190476,1,1
6,conf/sigmod/Mohan96,280350,1.0,1.0,0.666666666667,0.239130434783,1,1
7,conf/sigmod/Mohan94,672835,1.0,1.0,0.666666666667,0.047619047619,0,0
8,conf/vldb/GyssensL97,671161,0.0,0.999499499499,0.5,0.190476190476,0,0
9,conf/sigmod/HristidisKP01,673466,0.0,0.997501249375,0.0,0.047619047619,0,0
10,conf/vldb/ReuterCGSW95,673318,1.0,1.0,0.666666666667,0.190476190476,1,1
11,conf/vldb/AgrawalLSS95,671701,0.0,0.9975,0.166666666667,0.190476190476,0,0
12,journals/sigmod/PitouraB95,765538,0.0,0.998498498498,0.5,0.0704225352113,0,0
13,conf/sigmod/RaoR98,276309,1.0,1.0,0.666666666667,0.239130434783,1,1
14,journals/sigmod/SmithO99,304204,1.0,1.0,0.666666666667,0.0869565217391,0,0
15,conf/sigmod/FernandezS96,775454,0.0,0.996505242137,0.0,0.0,0,0
16,journals/sigmod/Hainaut03,953242,1.0,1.0,0.666666666667,0.0704225352113,0,0
17,conf/vldb/AmmannJR95,673164,1.0,1.0,0.666666666667,0.190476190476,1,1
18,journals/sigmod/ShethBS99,310067,1.0,1.0,0.666666666667,0.764705882353,1,1
19,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,335476,0.0,0.99850224663,0.666666666667,0.239130434783,0,0
20,conf/sigmod/GuhaRS98,276312,1.0,1.0,0.666666666667,0.239130434783,1,1
21,conf/sigmod/ShivakumarG97,253349,1.0,1.0,0.666666666667,0.239130434783,1,1
