#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.authors,ltable.title,ltable.venue,ltable.year,rtable.authors,rtable.title,rtable.venue,rtable.year,gold
0,conf/sigmod/AboulnagaC99,304198,"Surajit Chaudhuri, Ashraf Aboulnaga",Self-tuning Histograms: Building Histograms Without Looking at Data,SIGMOD Conference,1999.0,"Ashraf Aboulnaga, Surajit Chaudhuri",Self-tuning histograms: building histograms without looking at data,International Conference on Management of Data,1999,1
1,conf/sigmod/AcharyaFZ97,253293,"Swarup Acharya, Stanley B. Zdonik, Michael J. Franklin",Balancing Push and Pull for Data Broadcast,SIGMOD Conference,1997.0,"Swarup Acharya, Michael Franklin, Stanley Zdonik",Balancing push and pull for data broadcast,International Conference on Management of Data,1997,1
2,conf/sigmod/AcharyaGP00,335476,"Viswanath Poosala, Swarup Acharya, Phillip B. Gibbons",Congressional Samples for Approximate Answering of Group-By Queries,SIGMOD Conference,2000.0,"Jennifer Widom, Adam Bosworth, Bruce Lindsay, Michael Stonebraker, Dan Suciu",Of XML and databases (panel session): where's the beef?,International Conference on Management of Data,2000,0
3,conf/sigmod/AcharyaGPR99a,304207,"Swarup Acharya, Viswanath Poosala, Phillip B. Gibbons, Sridhar Ramaswamy",Join Synopses for Approximate Query Answering,SIGMOD Conference,1999.0,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy",Join synopses for approximate query answering,International Conference on Management of Data,1999,1
4,conf/sigmod/AdaliCPS96,369277,"Sibel Adali, Yannis Papakonstantinou, K. Seluk Candan, V. S. Subrahmanian",Query Caching and Optimization in Distributed Mediator Systems,SIGMOD Conference,1996.0,"W. Hasselbring, W.-J. van den Heuvel, G. J. Houben, R.-D. Kutsche, B. Rieger, M. Roantree, K. Subieta",Research and practice in federated information systems,ACM SIGMOD Record,2000,0
5,conf/sigmod/AdiBEY01,375759,"Tali Yatzkar-Haham, Asaf Adi, David Botzer, Opher Etzion",Monitoring Business Processes through Event Correlation based on Dependency Model,SIGMOD Conference,2001.0,"Asaf Adii, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Monitoring business processes through event correlation based on dependency model,International Conference on Management of Data,2001,1
6,conf/sigmod/AgrawalASY97,253355,"Tolga Yurek, Divyakant Agrawal, Amr El Abbadi, Ambuj K. Singh",Efficient View Maintenance at Data Warehouses,SIGMOD Conference,1997.0,"D. Agrawal, A. El Abbadi, A. Singh, T. Yurek",Efficient view maintenance at data warehouses,International Conference on Management of Data,1997,1
7,conf/sigmod/AgrawalCD02,564782,"Gautam Das, Sanjay Agrawal",DBXplorer: enabling keyword search over relational databases,SIGMOD Conference,2002.0,"Sanjay Agrawal, Surajit Chaudhuri, Gautam Das",DBXplorer: enabling keyword search over relational databases,International Conference on Management of Data,2002,1
8,conf/sigmod/AgrawalCN01,375769,"Vivek R. Narasayya, Sanjay Agrawal, Surajit Chaudhuri",Materialized View and Index Selection Tool for Microsoft SQL Server 2000,SIGMOD Conference,2001.0,"Sanjay Agrawal, Surajit Chaudhuri, Vivek Narasayya",Materialized view and index selection tool for Microsoft SQL server 2000,International Conference on Management of Data,2001,1
9,conf/sigmod/AltinelLKMPLWB02,564765,"Sailesh Krishnamurthy, C. Mohan, Larry Brown, Hamid Pirahesh, Mehmet Altinel, Honguk Woo, Qiong Luo, Bruce G. Lindsay",DBCache: database caching for web application servers,SIGMOD Conference,2002.0,"Mehmet Altinel, Qiong Luo, Sailesh Krishnamurthy, C. Mohan, Hamid Pirahesh, Bruce G. Lindsay, Honguk Woo, Larry Brown",DBCache: database caching for web application servers,International Conference on Management of Data,2002,1
